Nome do alimento,Quantidade (g/ml),Kcal,CHO,PTN,LIP,Origem da PTN,Tipo,Info Adicional,Autor
Arroz branco cozido,100,130,28.1,2.5,0.2,Vegetal,CARB,Arroz tipo 1,
Frango grelhado,100,165,0,31,3.6,Animal,PROT,Peito sem pele,
Batata doce cozida,100,86,20.1,0.6,0.1,Vegetal,CARB,Tubérculo,
Ovo inteiro cozido,100,155,1.1,13,10.6,Animal,PROT,Grande,
Azeite de oliva,100,884,0,0,100,Vegetal,LIP,Extra virgem,
Brócolis cozido,100,35,7,2.4,0.4,Vegetal,VEG,Hortaliça,
Leite integral,100,61,4.8,3.2,3.3,Animal,LATIC,UHT,
Banana prata,100,98,26,1.3,0.1,Vegetal,CARB,Fruta fresca,
Peito de peru,100,111,1.5,24,1.5,Animal,PROT,Defumado light,
Aveia em flocos,100,394,66.6,13.9,8.5,Vegetal,CARB,Integral,
